eventTypeStr,clockColliderPosition,clockSpawnPosition,dropDelayTime,メモ
RightNui,3,3,0,少し歩かせてから一週目のイベント開始
LeftNui,5,6,0
RightNui,7,7,0
LeftNui,8,9,0
LeftNui,10,11,0
RightNui,11,11,0
LeftNui,12,1,0

Fire,1,1,0,斜め左下から、二週目
RightMiniYagi,3,3,0
LeftMiniYagi,4,5,0
Fire,6,1,0,中心からの脅かし用
LeftMiniYagi,8,9,1
Fire,10,1,0,斜め右上
Fire,12,1,0,斜め左上

Eye,1,2,0,三週目
Eye,2,4,0
LeftNui,3,5,1
RightNui,5,5,0
RightMiniYagi,6,6,18,ラスト襲われつつステルスできるように準備
RightNui,7,7,8
RightNui,8,8,6
Eye,9,10,0
Eye,10,11,0
Eye,11,12,0
LeftMiniYagi,12,1,0
